SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
ACE564,Applied Regression Models II,1:00 PM,2:20 PM,MW,320,Mumford Hall
ACE569,Career Development for PhDs,1:30 PM,2:20 PM,R,323,Mumford Hall
ACE591,Independent Study,ARRANGED,,,,
ACE592,Special Topics,9:00 AM,11:50 AM,R,316N,Mumford Hall
ACE594,Seminars and Workshops,12:00 PM,1:20 PM,W,426,Mumford Hall
ACE599,Thesis Research,ARRANGED,,,,
ACES101,Contemporary Issues in ACES,9:00 AM,9:50 AM,R,320,Mumford Hall
ACES179,History of Ag in IL Since 1860,4:00 PM,4:50 PM,W,,
ACES199,Undergraduate Open Seminar,ARRANGED,,,,
ACES200,ACES Transfer Orientation,ARRANGED,,,,
ACES293,International Internship,ARRANGED,,,,
ACES295,Undergrad Research or Thesis,ARRANGED,,,,
ACES298,International Experience,ARRANGED,,,,
ACES299,ACES Study Abroad,ARRANGED,,,,
ACES396,Honors Study Abroad Retrospect,ARRANGED,,,,
ADV150,Introduction to Advertising,10:00 AM,10:50 AM,W,311,Gregory Hall
ADV175,Diversity in Advertising,12:30 PM,1:50 PM,MW,160,English Building
ADV199,Undergraduate Seminar,4:00 PM,6:50 PM,W,7,Weston Hall
ADV200,Data Literacy,3:00 PM,4:20 PM,W,70B,Wohlers Hall
ADV270,Principles of Sales,12:30 PM,1:50 PM,MW,,
ADV281,Advertising Research Methods,9:00 AM,9:50 AM,F,70B,Wohlers Hall
ADV283,Advertising and Brand Strategy,4:00 PM,4:50 PM,M,317,Gregory Hall
ADV284,Consumer Insight,5:00 PM,6:20 PM,R,428,Armory
ADV290,Special Topics in Advertising,ARRANGED,,,,
ADV301,Becoming an Influencer,3:00 PM,4:20 PM,MW,321,Gregory Hall
ADV305,Advertising Technology and the Digital World,11:00 AM,12:20 PM,MW,223,Gregory Hall
ADV310,Intro to Public Relations,10:00 AM,10:50 AM,MWF,213,Gregory Hall
ADV314,Sports Public Relations,10:00 AM,11:20 AM,TR,31,Gregory Hall
ADV320,Sales Management,3:00 PM,4:20 PM,TR,,
ADV350,Writing for Public Relations,12:00 PM,1:20 PM,MW,221,Gregory Hall
ADV370,Sales and the Consumer,ARRANGED,,,,
ADV390,Content Creation,11:00 AM,12:20 PM,TR,213,Gregory Hall
ADV392,Advertising Immersion,12:00 PM,12:50 PM,W,321,Gregory Hall
ADV393,Advertising and Society,11:00 AM,11:50 AM,MWF,1092,Lincoln Hall
ADV396,Research Experience in Advertising,ARRANGED,,,,
ADV400,Special Problems,ARRANGED,,,,
ADV409,Media Entrepreneurship,1:00 PM,2:20 PM,TR,,
ADV410,Public Relations Strategies,11:00 AM,12:20 PM,MW,31,Gregory Hall
ADV452,Creative Concepts I,1:30 PM,3:20 PM,TR,31,Gregory Hall
ADV460,Innovations in Advertising,9:00 AM,9:50 AM,W,215,Gregory Hall
ADV478,Psychology of Advertising,1:00 PM,2:20 PM,TR,215,Gregory Hall
ADV480,Social Media Analytics,ARRANGED,,,,
ADV483,Audience Analysis,10:00 AM,11:20 AM,MW,313,Gregory Hall
ADV490,Advanced Special Topics in Advertising,10:00 AM,11:20 AM,MW,113,Gregory Hall
ADV491,Digital Content and Social Media Management,3:30 PM,4:50 PM,TR,31,Gregory Hall
ADV492,Tech and Advertising Campaigns,12:30 PM,1:50 PM,TR,209,Huff Hall
ADV495,Internship Seminar,ARRANGED,,,,
ADV496,UG Research Project,ARRANGED,,,,
ADV498,The Sandage Project,1:00 PM,2:50 PM,MWF,31,Gregory Hall
ADV550,Foundations of Advertising,1:00 PM,3:50 PM,M,336,Gregory Hall
ADV580,Advertising Theory,1:00 PM,3:20 PM,F,3,Gregory Hall
ADV581,Quanti Research Methods in Adv,12:30 PM,1:50 PM,TR,123,Gregory Hall
ADV587,Graduate Seminar I,2:00 PM,4:50 PM,R,221,Gregory Hall
ADV590,Special Topics in Advertising,ARRANGED,,,,
ADV594,Advanced Topics in Advertising,2:00 PM,4:50 PM,M,207,Gregory Hall
ADV598,Professional Project,ARRANGED,,,,
ADV599,Thesis Research,ARRANGED,,,,
AE100,Intro to Aerospace Engineering,3:00 PM,4:50 PM,T,2320,Digital Computer Laboratory
AE140,Aerospace Computer-Aided Design,10:00 AM,10:50 AM,TR,406B1,Engineering Hall
AE199,Undergraduate Open Seminar,ARRANGED,,,,
AE202,Aerospace Flight Mechanics,2:00 PM,3:20 PM,TR,106B3,Engineering Hall
AE298,Special Topics,5:00 PM,5:50 PM,T,,
AE311,Incompressible Flow,10:00 AM,10:50 AM,MWF,160,English Building
AE312,Compressible Flow,2:00 PM,3:20 PM,MW,2055,Sidney Lu Mech Engr Bldg
AE321,Mechs of Aerospace Structures,9:00 AM,9:50 AM,MWF,4025,Campus Instructional Facility
AE323,Applied Aerospace Structures,9:00 AM,9:50 AM,MWF,3101,Sidney Lu Mech Engr Bldg
AE352,Aerospace Dynamical Systems,11:00 AM,11:50 AM,MWF,160,English Building
AE353,Aerospace Control Systems,11:00 AM,11:50 AM,MWF,259,English Building
AE370,Aerospace Numerical Methods,2:00 PM,2:50 PM,MWF,106B3,Engineering Hall
AE395,Honors Project,ARRANGED,,,,
AE396,Honors Seminar,ARRANGED,,,,
AE397,Independent Study,ARRANGED,,,,
AE402,Orbital Mechanics,11:00 AM,12:20 PM,TR,218,Ceramics Building
AE412,Viscous Flow &amp; Heat Transfer,10:00 AM,11:50 AM,TR,403B2,Engineering Hall
AE416,Applied Aerodynamics,11:00 AM,11:50 AM,MWF,403B2,Engineering Hall
AE420,Finite Element Analysis,9:00 AM,9:50 AM,MWF,103,Transportation Building
AE433,Aerospace Propulsion,2:00 PM,2:50 PM,MWF,1320,Digital Computer Laboratory
AE442,Aerospace Systems Design I,3:30 PM,4:50 PM,TR,2055,Sidney Lu Mech Engr Bldg
AE452,Introduction to Nonlinear Dynamics and Vibrations,1:00 PM,2:50 PM,MW,410C1,Engineering Hall
AE460,Aerodynamics &amp; Propulsion Lab,9:00 AM,10:50 AM,M,ARR,Talbot Laboratory
AE482,Introduction to Robotics,9:00 AM,10:50 AM,T,3071,Electrical & Computer Eng Bldg
